Title,Body,User_login,Author_association,Label_name_list,State,Created_at,Comments,Comments_url,Html_url,Id,Url,Repository_url,User_url,User_id,User_html_url,repo_id,repo_name,repo_html_url,repo_description,repo_fork,repo_created_at,repo_updated_at,repo_forks,repo_stars,repo_language,user_created_at,user_updated_at,user_followers,user_public_repos,bio
Block multi-select of rows using shift-click,"Hi Eric

the application that I would like to use koGrid for has a requirement to multi-select rows but allow a ""block select"" of rows by clicking on a row and then holding the shift button down and clicking on a row further down the list (a bit like Excel).

There is a way to do this with jqGrid that I found on Stack Overflow (see link below) but as a new fan of Knockout I would love to be able to do this with koGrid.

http://stackoverflow.com/questions/4186533/jqgrid-multiselect

Thanks
",NomadPhil,NONE,Todo/,closed,2012-06-30T19:56:20Z,5,https://api.github.com/repos/Knockout-Contrib/KoGrid/issues/45/comments,https://github.com/Knockout-Contrib/KoGrid/issues/45,5369792,https://api.github.com/repos/Knockout-Contrib/KoGrid/issues/45,https://api.github.com/repos/Knockout-Contrib/KoGrid,https://api.github.com/users/NomadPhil,1909560,https://github.com/NomadPhil,2878628,KoGrid,https://github.com/Knockout-Contrib/KoGrid,A Knockout DataGrid,FALSE,2011-11-29T22:05:16Z,2020-06-14T22:52:25Z,138,282,JavaScript,2012-06-30T19:44:27Z,2019-10-10T09:49:10Z,0,3,
class/function summary tables only show first line of docstrings,"As discussed in #219, the  tables generated by autosummary and automodapi only take the first line of the docstrings, rather than the first sentence or paragraph as is expected from the numpydoc standard.
",eteq,MEMBER,Docs/,closed,2012-05-08T01:30:35Z,5,https://api.github.com/repos/astropy/astropy/issues/231/comments,https://github.com/astropy/astropy/pull/231,4465773,https://api.github.com/repos/astropy/astropy/issues/231,https://api.github.com/repos/astropy/astropy,https://api.github.com/users/eteq,346587,https://github.com/eteq,2081289,astropy,https://github.com/astropy/astropy,Repository for the Astropy core package,FALSE,2011-07-21T01:33:49Z,2020-07-02T00:38:41Z,1231,2470,C,2010-07-28T05:55:47Z,2020-06-23T15:37:16Z,159,218,
Popups can not be defined outside the page they're used in.,"I'm not sure if this is a bug or the intended behavior, but at the very least it's inconsistent with the way dialogs work and rather limiting in the way it can be used. I'm hoping somebody can chime in and let me know what they think about this issue.

When building dialogs, I can put the dialog DIV outside the page DIV that uses it:

```
<div data-role=""page"" id=""home"">
    <div data-role=""header"">...</div>
    <div data-role=""content"">
        <a href=""#dialog"" data-role=""button"" data-rel=""dialog"">dialog</a>
    </div>
    <div data-role=""footer"">...</div>
</div>
....
<div data-role=""dialog"" id=""dialog"">
    ...
</div>
```

This allows me to pre-load all my static dialogs into a single HTML page, and then pull content DIVs which use those dialogs via AJAX. However, this same technique doesn't work with popups. The following code doesn't display the popup when the button is clicked:

```
<div data-role=""page"" id=""home"">
    <div data-role=""header"">...</div>
    <div data-role=""content"">
        <a href=""#popup"" data-role=""button"" data-rel=""popup"">popup</a>
    </div>
    <div data-role=""footer"">...</div>
</div>
....
<div data-role=""popup"" id=""popup"">
    ...
</div>
```

In order to get the popup to render, I need to put its DIV _inside_ the page DIV that it will be rendered on:

```
<div data-role=""page"" id=""home"">
    <div data-role=""popup"" id=""popup"">
        ...
    </div>
    <div data-role=""header"">...</div>
    <div data-role=""content"">
        <a href=""#popup"" data-role=""button"" data-rel=""popup"">popup</a>
    </div>
    <div data-role=""footer"">...</div>
</div>
```

This has two implications:
1. I can't have multiple pages use the same popup -- I have to create multiple identical copies of the popup, one for each page.
2. I can't pull in the DIV for  a new page via AJAX unless I also include all popup DIVs that the page might use.

Here are some fiddles for testing:

Dialog defined outside the page - http://jsbin.com/oravud
Popup defined outside the page - http://jsbin.com/axaqit
Popup defined inside the page - http://jsbin.com/uqojic
",AlexHowansky,NONE,Component: Popup/Fixed/Tag: Widget Review/,closed,2012-06-19T17:39:12Z,14,https://api.github.com/repos/jquery/jquery-mobile/issues/4565/comments,https://github.com/jquery/jquery-mobile/issues/4565,5151987,https://api.github.com/repos/jquery/jquery-mobile/issues/4565,https://api.github.com/repos/jquery/jquery-mobile,https://api.github.com/users/AlexHowansky,296121,https://github.com/AlexHowansky,907410,jquery-mobile,https://github.com/jquery/jquery-mobile,jQuery Mobile Framework,FALSE,2010-09-13T15:02:22Z,2020-07-01T14:27:30Z,2553,9898,JavaScript,2010-06-04T02:19:05Z,2020-05-06T03:35:28Z,6,23,
debugger: allow the user to debug an app served from their own server,"Right now we serve apps from an embedded server in the editor, and - because of our reliance on these specific urls - can only debug apps served from our server. A common use case is to run your own server and serve your web app files from that. There's no technical reason why the editor should not be able to debug these apps as well.
",devoncarew,MEMBER,None,closed,2012-06-19T17:49:02Z,19,https://api.github.com/repos/dart-lang/sdk/issues/3748/comments,https://github.com/dart-lang/sdk/issues/3748,84511069,https://api.github.com/repos/dart-lang/sdk/issues/3748,https://api.github.com/repos/dart-lang/sdk,https://api.github.com/users/devoncarew,1269969,https://github.com/devoncarew,35726310,sdk,https://github.com/dart-lang/sdk,"The Dart SDK, including the VM, dart2js, core libraries, and more.",FALSE,2015-05-16T14:14:58Z,2020-07-02T01:40:35Z,779,5573,Dart,2011-12-17T18:11:55Z,2020-04-27T15:02:04Z,388,165,
serialize error in AbstractToken,"Can't fix that error. That happens when i'm sent form.

```
ErrorException: Notice: serialize(): &quot;id&quot; returned as member variable from __sleep()
but does not exist
in ~/Symfony/Component/Security/Core/Authentication/Token/AbstractToken.php line 147
```

I'm using latest symfony. Where can I find problem?
",vslinko,NONE,None,closed,2012-06-02T13:34:22Z,4,https://api.github.com/repos/symfony/symfony/issues/4487/comments,https://github.com/symfony/symfony/issues/4487,4870960,https://api.github.com/repos/symfony/symfony/issues/4487,https://api.github.com/repos/symfony/symfony,https://api.github.com/users/vslinko,205823,https://github.com/vslinko,458058,symfony,https://github.com/symfony/symfony,The Symfony PHP framework,FALSE,2010-01-04T14:21:21Z,2020-07-01T20:47:56Z,7714,23565,PHP,2010-02-18T07:29:18Z,2020-06-27T07:27:44Z,124,271,Frontend Team Lead
D3 examples with JSON data - error -TypeError: 'null' is not an object (evaluating 'collection.features'),"It seems that almost all the D3 examples with JSON data have this error.

TypeError: 'null' is not an object (evaluating 'collection.features')

For example, albers projection.

d3.json(""../data/us-states.json"", function(collection) {
  d3.select(""#states"")
    .selectAll(""path"")
      .data(collection.features)       <--------line 56

The error is in   .data(collection.features) line 56.

This is using Safari 5.1.7 in Mac OS and also in Firefox 3.x.

Thanks.

Edit: This example works.

http://bl.ocks.org/2374239

However, the D3 examples with JSON data does not work.
",ns-1m,NONE,None,closed,2012-06-18T02:54:06Z,7,https://api.github.com/repos/d3/d3/issues/673/comments,https://github.com/d3/d3/issues/673,5116281,https://api.github.com/repos/d3/d3/issues/673,https://api.github.com/repos/d3/d3,https://api.github.com/users/ns-1m,646346,https://github.com/ns-1m,943149,d3,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",FALSE,2010-09-27T17:22:42Z,2020-07-02T00:45:57Z,22171,92294,JavaScript,2011-03-02T06:33:46Z,2020-05-28T02:09:01Z,3,29,
use new mozilla apis for early implementation ,"these should also be in Chrome now, or shortly:

http://stackoverflow.com/questions/6343450/generating-sound-on-the-fly-with-javascript-html5

http://jsfiddle.net/HMwTT/
",jywarren,OWNER,None,closed,2012-06-20T15:48:12Z,0,https://api.github.com/repos/jywarren/hellschreiber-js/issues/1/comments,https://github.com/jywarren/hellschreiber-js/issues/1,5173806,https://api.github.com/repos/jywarren/hellschreiber-js/issues/1,https://api.github.com/repos/jywarren/hellschreiber-js,https://api.github.com/users/jywarren,24359,https://github.com/jywarren,1633997,hellschreiber-js,https://github.com/jywarren/hellschreiber-js,A JavaScript implementation of a Hellschreiber encoder,FALSE,2011-04-19T04:05:27Z,2015-02-01T02:41:52Z,0,2,CSS,2008-09-12T19:35:06Z,2020-06-30T19:06:50Z,313,194,http://instagram.com/unterbahn
Ability to generate csv file with aggregated results,"Today, Gatling generate only an html report with some computed numbers and mostly with Charts.
I need to gather most of the computed numbers of several runs to put it in another tool (a spreadsheet for exemple) for historization but mostly to be able to compare different runs results.

Today, doing such things is very painful (copy/past from orange box statistics)  or impossible (all computed numbers in graphics)

Could you provide some configuration parameters to generate raw computed numbers in a format like csv ?

Your current html report is cool but clearly insufficient for more advanced usage.

Thanks in advance
",fdrouet,NONE,Module - Charts/Type - Feature/,closed,2012-06-29T08:59:47Z,13,https://api.github.com/repos/gatling/gatling/issues/593/comments,https://github.com/gatling/gatling/issues/593,5347010,https://api.github.com/repos/gatling/gatling/issues/593,https://api.github.com/repos/gatling/gatling,https://api.github.com/users/fdrouet,120171,https://github.com/fdrouet,1826128,gatling,https://github.com/gatling/gatling,Async Scala-Akka-Netty based Load Test Tool,FALSE,2011-05-31T12:40:25Z,2020-07-01T12:20:07Z,1003,4758,Scala,2009-08-27T15:17:38Z,2020-06-08T12:26:35Z,25,37,
Random Â symbols appear out of thin air,"I was making a test case for an issue #4533 and this is what it looks like:

http://d.pr/i/THcN

jQM adds Â to the icons all of a sudden: 
    &lt;span class=""ui-icon ui-icon-arrow-r ui-icon-shadow"">Â&amp;nbsp;&lt;/span>
    &lt;span class=""ui-icon ui-icon-home ui-icon-shadow"">Â&amp;nbsp;&lt;/span>

This is the latest version from github. Link: http://evilcorp.info/jqm-test/
",firedev,NONE,None,closed,2012-06-17T09:35:20Z,4,https://api.github.com/repos/jquery/jquery-mobile/issues/4540/comments,https://github.com/jquery/jquery-mobile/issues/4540,5111123,https://api.github.com/repos/jquery/jquery-mobile/issues/4540,https://api.github.com/repos/jquery/jquery-mobile,https://api.github.com/users/firedev,115612,https://github.com/firedev,907410,jquery-mobile,https://github.com/jquery/jquery-mobile,jQuery Mobile Framework,FALSE,2010-09-13T15:02:22Z,2020-07-01T14:27:30Z,2553,9898,JavaScript,2009-08-15T13:31:25Z,2020-06-21T05:12:50Z,39,105,
Harrass Luke Melia to write the template compile recipe,"http://stackoverflow.com/questions/9860512/emberjs-handlebars-precompiling basically is https://github.com/trek/EmberCookbook/blob/master/serving_compiled_templates_using_nodejs.mdown so pester @lukemelia when we're ready for pestering.
",trek,OWNER,None,closed,2012-06-01T14:32:46Z,0,https://api.github.com/repos/trek/EmberCookbook/issues/12/comments,https://github.com/trek/EmberCookbook/issues/12,4858125,https://api.github.com/repos/trek/EmberCookbook/issues/12,https://api.github.com/repos/trek/EmberCookbook,https://api.github.com/users/trek,9736,https://github.com/trek,4496617,EmberCookbook,https://github.com/trek/EmberCookbook,A Cookbook For Ember.js - one day we'll merge into ember/website,FALSE,2012-05-30T15:39:46Z,2020-06-01T08:03:04Z,16,109,,2008-05-08T22:08:55Z,2020-06-18T16:54:12Z,551,88,"I helped start @workantile, couponed at @groupon, now doing some startup thing. @emberjs core team emeritus. @paulirish once called me a hero"
