Title,Body,User_login,Author_association,Label_name_list,State,Created_at,Comments,Comments_url,Html_url,Id,Url,Repository_url,User_url,User_id,User_html_url,repo_id,repo_name,repo_html_url,repo_description,repo_fork,repo_created_at,repo_updated_at,repo_forks,repo_stars,repo_language,user_created_at,user_updated_at,user_followers,user_public_repos,bio
installation steps are for rails 2,"See 

http://stackoverflow.com/a/9791991/56083

You might want to update the installation steps to be rails 3.x friendly.
",j4y,NONE,None,open,2012-03-21T01:26:42Z,0,https://api.github.com/repos/paytonrules/selenium-on-rails/issues/5/comments,https://github.com/paytonrules/selenium-on-rails/issues/5,3739007,https://api.github.com/repos/paytonrules/selenium-on-rails/issues/5,https://api.github.com/repos/paytonrules/selenium-on-rails,https://api.github.com/users/j4y,36337,https://github.com/j4y,45492,selenium-on-rails,https://github.com/paytonrules/selenium-on-rails,"The ""official"" Selenium On Rails repository, synced with OpenQA.",FALSE,2008-08-24T16:21:49Z,2020-01-16T16:45:20Z,19,137,JavaScript,2008-11-24T14:47:52Z,2020-05-02T19:26:39Z,25,31,
fix for Rack on Ruby 1.9.2,"I needed to add this code to have text-aid-server run under Ruby 1.9.2 because I was getting:

!! Unexpected error while processing request: Response body must respond to each

The solution is:
http://stackoverflow.com/questions/7701113/rack-error-racklintlinterror-response-body-must-respond-to-each

Unknown, but testable to see if this works with < 1.9.2.  Let me know.

Thanks,
-Ben
",azurewraith,NONE,None,open,2012-03-20T19:41:49Z,0,https://api.github.com/repos/matthewfallshaw/text-aid-server/issues/1/comments,https://github.com/matthewfallshaw/text-aid-server/pull/1,3734362,https://api.github.com/repos/matthewfallshaw/text-aid-server/issues/1,https://api.github.com/repos/matthewfallshaw/text-aid-server,https://api.github.com/users/azurewraith,287646,https://github.com/azurewraith,975874,text-aid-server,https://github.com/matthewfallshaw/text-aid-server,"Rack app that listens for POSTs, runs an editor on the posted text, and returns the modified text as the response body.  Intended for use with # Chrome extensions like TextAid.",FALSE,2010-10-10T06:13:53Z,2019-04-15T00:31:59Z,3,2,Ruby,2010-05-26T13:19:28Z,2020-05-20T03:04:13Z,10,26,
Login & Registration - Get CSRF token with Session GET,"To avoid CSRF token errors, do a SESSION GET first, store the token, and use it for subsequent requests.

Related:
http://stackoverflow.com/questions/9044141/rails-devise-creating-new-users-via-json-request
",gprinslow,OWNER,enhancement/wontfix/,open,2012-03-30T18:23:52Z,1,https://api.github.com/repos/gprinslow/youpon-iphone/issues/2/comments,https://github.com/gprinslow/youpon-iphone/issues/2,3902552,https://api.github.com/repos/gprinslow/youpon-iphone/issues/2,https://api.github.com/repos/gprinslow/youpon-iphone,https://api.github.com/users/gprinslow,901744,https://github.com/gprinslow,3879357,youpon-iphone,https://github.com/gprinslow/youpon-iphone,Youpon - iPhone - iOS 5,FALSE,2012-03-30T18:01:25Z,2014-03-25T12:50:03Z,0,1,Objective-C,2011-07-07T23:20:25Z,2015-04-07T14:55:12Z,0,9,
AX_BOOST_BASE syntax error near error,"A error appears when running ./autogen

The solution is found in http://stackoverflow.com/questions/6113006/cant-find-boost-c-using-configure-ac

It is to add ACLOCAL_AMFLAGS = -I m4 in Makefile.am file
",taimurrabuske,CONTRIBUTOR,None,open,2012-03-01T05:04:43Z,0,https://api.github.com/repos/henjo/libpsf/issues/10/comments,https://github.com/henjo/libpsf/issues/10,3449325,https://api.github.com/repos/henjo/libpsf/issues/10,https://api.github.com/repos/henjo/libpsf,https://api.github.com/users/taimurrabuske,451252,https://github.com/taimurrabuske,1251062,libpsf,https://github.com/henjo/libpsf,PSF simulation data c++ library,FALSE,2011-01-13T15:31:38Z,2020-03-06T20:26:09Z,16,16,C++,2010-10-23T20:30:29Z,2020-06-22T02:06:42Z,3,8,
Lazy loading of Google Maps API,"Would be nice if we can skip the script tag for the Google Maps API and use the async version of it:

http://stackoverflow.com/questions/4102579/lazy-load-google-maps-api-v3-jquery-callback
",aemkei,MEMBER,feature/,open,2012-03-23T12:57:34Z,5,https://api.github.com/repos/ubilabs/geocomplete/issues/4/comments,https://github.com/ubilabs/geocomplete/issues/4,3779426,https://api.github.com/repos/ubilabs/geocomplete/issues/4,https://api.github.com/repos/ubilabs/geocomplete,https://api.github.com/users/aemkei,1521,https://github.com/aemkei,3671792,geocomplete,https://github.com/ubilabs/geocomplete,jQuery Geocoding and Places Autocomplete Plugin,FALSE,2012-03-09T15:20:19Z,2020-06-27T14:41:55Z,421,1244,JavaScript,2008-02-28T09:34:59Z,2020-06-23T10:06:10Z,974,63,"Mapper. Reducer. – Co-Founder of @Ubilabs, GDE for the Google Maps API, Organizer of HHjs and @JSUnconf, Code-Golfing at http://aem1k.com "
Upload Rsync,"synchro rsync distante over ssh or not.
juste db and web interface

http://stackoverflow.com/questions/4775220/sync-local-and-remote-folders-using-rsync-from-php-script-without-typing-passwor
",sctfic,OWNER,PHP/,open,2012-03-22T07:34:59Z,0,https://api.github.com/repos/sctfic/Probe/issues/17/comments,https://github.com/sctfic/Probe/issues/17,3758963,https://api.github.com/repos/sctfic/Probe/issues/17,https://api.github.com/repos/sctfic/Probe,https://api.github.com/users/sctfic,1211318,https://github.com/sctfic,2822986,Probe,https://github.com/sctfic/Probe,Weather Station Web Data Share,FALSE,2011-11-21T20:58:37Z,2016-11-07T10:47:41Z,1,5,PHP,2011-11-21T20:48:14Z,2020-06-06T13:48:52Z,6,7,Water vs Fire
OpenStruct leads to memory leak,"Unfortunately Ruby 1.8's OpenStruct leaks memory, so any long running process will get huge. We've had to stop using Grackle in production because of it.

See http://stackoverflow.com/a/4137908/16981
",josephholsten,NONE,None,open,2012-03-22T01:07:37Z,2,https://api.github.com/repos/hayesdavis/grackle/issues/23/comments,https://github.com/hayesdavis/grackle/issues/23,3756433,https://api.github.com/repos/hayesdavis/grackle/issues/23,https://api.github.com/repos/hayesdavis/grackle,https://api.github.com/users/josephholsten,7495,https://github.com/josephholsten,146982,grackle,https://github.com/hayesdavis/grackle,Lightweight Ruby library for the Twitter API that goes with the flow.,FALSE,2009-03-10T00:19:44Z,2019-08-13T14:08:02Z,41,229,Ruby,2008-04-15T22:48:57Z,2020-06-25T22:54:23Z,77,272,"@sous-chefs founder, journeyman human being"
"Add support for ""smart"" cropping.","See http://stackoverflow.com/questions/1516736/django-sorl-thumbnail-crop-picture-head. Essentially, the idea would be to crop images incrementally by choosing the edge with the lowest entropy. Sort of a poor-man's seam carving.
",melinath,OWNER,Feature/Someday/maybe/,open,2012-03-06T18:15:09Z,0,https://api.github.com/repos/melinath/django-daguerre/issues/5/comments,https://github.com/melinath/django-daguerre/issues/5,3528668,https://api.github.com/repos/melinath/django-daguerre/issues/5,https://api.github.com/repos/melinath/django-daguerre,https://api.github.com/users/melinath,299979,https://github.com/melinath,3442190,django-daguerre,https://github.com/melinath/django-daguerre,On-the-fly image manipulation for Django.,FALSE,2012-02-14T17:45:09Z,2020-06-18T09:34:42Z,13,84,Python,2010-06-08T15:03:27Z,2020-06-25T14:26:29Z,44,36,
Chrome returns 0 for slide width/height,"This is probably caused by WebKit not returning width or height information for images until they're loaded, which means that when Cycles creates the slideshow and sets it up into buildOptions() the dimensions of the image will be 0. This also means it's probably affecting Safari as well, although I can't confirm myself [see links].

I believe there's some code in buildOptions() trying to deal with this judging by this comment ""// apparently a lot of people use image slideshows without height/width attributes on the images."" but unfortunately it doesn't seem to work properly.

I think the ideal solution would probably be to decouple slideshow creation and setup from actual image manipulation and display a ""Loading..."" spinner while the images are being loaded and manipulated into place.

Links:
http://stackoverflow.com/questions/615934/jquery-width-returns-0
http://stackoverflow.com/questions/4022184/jquery-width-chrome-and-safari-problem
http://stackoverflow.com/questions/5198094/jquery-chrome-image-width-and-height-0-for-new-image
",ESarti,NONE,None,open,2012-03-26T18:25:03Z,0,https://api.github.com/repos/malsup/cycle/issues/107/comments,https://github.com/malsup/cycle/issues/107,3813834,https://api.github.com/repos/malsup/cycle/issues/107,https://api.github.com/repos/malsup/cycle,https://api.github.com/users/ESarti,1111708,https://github.com/ESarti,71298,cycle,https://github.com/malsup/cycle,jQuery Cycle Plugin - Slideshow goodness,FALSE,2008-11-04T00:28:34Z,2020-05-03T14:06:46Z,303,1219,JavaScript,2011-10-08T04:01:46Z,2020-03-06T21:12:10Z,0,0,
pyEnchant recipe needed,"**[Original report](https://bitbucket.org/ronaldoussoren/py2app/issue/37) by Андрей Барышников (Bitbucket: [AndreyB](https://bitbucket.org/AndreyB), GitHub: [AndreyB](https://github.com/AndreyB)).**

----------------------------------------

I setuped my envirovment like this :
port install python27 py27-bdist_mpkg py2-py2app py27-enchant py27-pyqt4 python_select

Used this script to build app bundle 
https://github.com/shuge/Enjoy-Qt-Python-Binding/blob/master/package_maker/py2app/simple/setup.py

and when i want to load my app with spell-checking.. enchant cant find dictionaries (see this thread http://stackoverflow.com/questions/9514148/what-is-going-on-with-py2app-and-pyenchant )
",ronaldoussoren,OWNER,enhancement/,open,2012-03-01T10:55:25Z,3,https://api.github.com/repos/ronaldoussoren/py2app/issues/37/comments,https://github.com/ronaldoussoren/py2app/issues/37,549801346,https://api.github.com/repos/ronaldoussoren/py2app/issues/37,https://api.github.com/repos/ronaldoussoren/py2app,https://api.github.com/users/ronaldoussoren,713966,https://github.com/ronaldoussoren,233826136,py2app,https://github.com/ronaldoussoren/py2app,py2app is a Python setuptools command which will allow  you to make standalone Mac OS X application bundles  and plugins from Python scripts.,FALSE,2020-01-14T11:27:41Z,2020-06-29T05:25:04Z,3,47,Python,2011-04-06T20:57:48Z,2020-03-27T17:40:27Z,26,15,
IE - 'wrap_meth.inner_method' is null or not an object,"Hello,

I tried to use your library and found issue in IE8. As I understand this issue is the same as described here http://stackoverflow.com/questions/9043648/bigdecimal-javascript-library

It would be great if this library will work independent from browser engine.
",maxymshg,NONE,None,open,2012-03-05T19:17:26Z,4,https://api.github.com/repos/iriscouch/bigdecimal.js/issues/2/comments,https://github.com/iriscouch/bigdecimal.js/issues/2,3512112,https://api.github.com/repos/iriscouch/bigdecimal.js/issues/2,https://api.github.com/repos/iriscouch/bigdecimal.js,https://api.github.com/users/maxymshg,1504106,https://github.com/maxymshg,2719071,bigdecimal.js,https://github.com/iriscouch/bigdecimal.js,Arbitrary-precision Javascript BigInteger and BigDecimal real numbers,FALSE,2011-11-06T06:25:45Z,2020-06-23T09:58:50Z,19,212,Ruby,2012-03-05T19:07:08Z,2020-05-02T12:23:09Z,2,16,
Can't create stored procedures in migration script.,"Migrations simply splits the script at semicolons to get queries. This fails with stored procedures, which exactly for that reason use the DELIMITER command to temporarily redefine the delimiter.

Here's a Stackoverflow answer where somone solved that problem, maybe you could ask them if you can use the code: http://stackoverflow.com/a/5025730/16883
",brazzy,NONE,None,open,2012-03-22T10:21:06Z,2,https://api.github.com/repos/jmhobbs/kohana-3-migrations/issues/4/comments,https://github.com/jmhobbs/kohana-3-migrations/issues/4,3760473,https://api.github.com/repos/jmhobbs/kohana-3-migrations/issues/4,https://api.github.com/repos/jmhobbs/kohana-3-migrations,https://api.github.com/users/brazzy,235163,https://github.com/brazzy,969794,kohana-3-migrations,https://github.com/jmhobbs/kohana-3-migrations,"A simple, SQL based migrations system for Kohana 3.",FALSE,2010-10-07T16:35:31Z,2019-09-25T20:03:27Z,6,21,PHP,2010-04-01T17:40:34Z,2020-06-28T19:50:02Z,29,8,
Good and consistent vector iteration,"There are a number of different patterns used for vector iteration throughout this project. Some can lead to compiler warnings about comparison between signed and unsigned, etc.

Please switch to a consistent a proper vector iteration method. See http://stackoverflow.com/a/409396/502665 for your choices.
",indygreg,NONE,c++/,open,2012-03-01T23:20:57Z,0,https://api.github.com/repos/mozilla-services/powerhose/issues/12/comments,https://github.com/mozilla-services/powerhose/issues/12,3467458,https://api.github.com/repos/mozilla-services/powerhose/issues/12,https://api.github.com/repos/mozilla-services/powerhose,https://api.github.com/users/indygreg,342993,https://github.com/indygreg,3278917,powerhose,https://github.com/mozilla-services/powerhose,Runs workers via zmq to perform any kind of task,FALSE,2012-01-27T00:31:12Z,2019-05-30T01:16:52Z,11,97,Python,2010-07-24T19:35:12Z,2020-06-27T18:56:40Z,155,75,
Don't store the salt in the database,"The salt is already incorporated inside the hash field, so there is no need to store this in the collection as an extra field:

When authenticating it is not using it.

See: http://stackoverflow.com/questions/277044/do-i-need-to-store-the-salt-with-bcrypt
",sjoerdmulder,NONE,None,open,2012-03-16T11:01:28Z,0,https://api.github.com/repos/bnoguchi/mongoose-auth/issues/86/comments,https://github.com/bnoguchi/mongoose-auth/issues/86,3680516,https://api.github.com/repos/bnoguchi/mongoose-auth/issues/86,https://api.github.com/repos/bnoguchi/mongoose-auth,https://api.github.com/users/sjoerdmulder,235745,https://github.com/sjoerdmulder,1404348,mongoose-auth,https://github.com/bnoguchi/mongoose-auth,User authentication plugin for mongoose nodejs orm,FALSE,2011-02-23T22:39:16Z,2020-06-21T05:32:16Z,124,754,JavaScript,2010-04-02T14:47:11Z,2020-06-19T10:31:39Z,12,50,Co-founder & CTO
Possible to disable for a single request to allow streaming?,"I have been attempting to get streaming working in Rails 3.2 on Heroku (see my SO post here: http://stackoverflow.com/questions/9915704/rails-3-2-streaming).

I am coming to the conclusion that rack-cache is causing the problem. Disabling it using config.middleware.delete(Rack::Cache) in production.rb seems to fix it. This, obviously, disables it for my entire app.

I only want it disabled for the one streaming request (which is on the admin side and will be used infrequently). It'd be a major bummer to lose caching for the sake of one small (but required) admin feature.

Are there any work-arounds for this? Thanks!
",mattfordham,NONE,None,open,2012-03-29T18:46:46Z,0,https://api.github.com/repos/rtomayko/rack-cache/issues/60/comments,https://github.com/rtomayko/rack-cache/issues/60,3885642,https://api.github.com/repos/rtomayko/rack-cache/issues/60,https://api.github.com/repos/rtomayko/rack-cache,https://api.github.com/users/mattfordham,292703,https://github.com/mattfordham,67542,rack-cache,https://github.com/rtomayko/rack-cache,Real HTTP Caching for Ruby Web Apps,FALSE,2008-10-25T02:02:09Z,2020-06-25T14:15:09Z,129,804,Ruby,2010-05-31T23:19:26Z,2019-03-19T19:57:50Z,21,36,
Test code must be in separate project,"Hey Doofus, test code must be in a separate project, not part of the application project. 

http://stackoverflow.com/questions/4707445/why-to-hold-tests-in-a-separate-project-rather-then-folder

""Tests, like Android applications, are organized into projects. "" http://developer.android.com/guide/topics/testing/testing_android.html

It is awkward to have them in a separate project, if you're used to the world or ""make test"" or ""rake test"" but so be it.
",jimhopp,OWNER,None,open,2012-03-01T14:41:43Z,0,https://api.github.com/repos/jimhopp/GPSvsNetwork/issues/1/comments,https://github.com/jimhopp/GPSvsNetwork/issues/1,3455097,https://api.github.com/repos/jimhopp/GPSvsNetwork/issues/1,https://api.github.com/repos/jimhopp/GPSvsNetwork,https://api.github.com/users/jimhopp,1094266,https://github.com/jimhopp,2749826,GPSvsNetwork,https://github.com/jimhopp/GPSvsNetwork,Shows GPS and Network locations on a map.,FALSE,2011-11-10T16:28:31Z,2019-06-02T20:34:34Z,3,2,Java,2011-10-01T04:07:55Z,2020-03-20T16:26:01Z,33,20,"Formerly @Lookout, @Workday, NetYourWork, PeopleSoft, AMS.

Now a flight instructor!

Twitter @jwhopp"
"Mapping Enumeration values causes diverging implicit expansion error on Scala 2.10.0-M2, worked with 2.8 and 2.9","I'm not sure if this is really a bug but atleast it seems like unintended consequence.

Using MyEnumeration.values.map(p => (p -> DoSomehtingWith(p)) causes diverging implicit expansion error.
This used to work on 2.8 and 2.9 and you can go around with MyEnumeration.values.toList.map but that seems strange and unnecessary.

More verbose explanation here: http://stackoverflow.com/questions/9487425/enumeration-and-mapping-with-scala-2-10
",scabug,NONE,enum/implicit/minimized/regression/should compile/typer/,open,2012-03-02T07:13:00Z,7,https://api.github.com/repos/scala/bug/issues/5534/comments,https://github.com/scala/bug/issues/5534,220088929,https://api.github.com/repos/scala/bug/issues/5534,https://api.github.com/repos/scala/bug,https://api.github.com/users/scabug,26753039,https://github.com/scabug,87480447,bug,https://github.com/scala/bug,official bug tracker for Scala 2 (the scala/scala repo),FALSE,2017-04-06T22:23:25Z,2020-06-29T21:29:08Z,14,184,,2017-03-28T23:11:26Z,2017-04-05T18:18:24Z,1,0,"It's pronounced [ska-BUH], kind of like scabot.
"
DDC-1716: Better unique constraints handling or even updateIfExists/findOneOrCreate,"Jira issue originally created by user koc:

It is too hard handle rows duplication now. As adviced here http://stackoverflow.com/questions/3967226/checking-for-duplicate-keys-with-doctrine-2 we should catch \PDOException with code 23000. This is bad behavior.

So I propose:
a. Add DuplicateRowException wich will throwed by flush method (maybe wrapped PDOException) with method ""getDuplicatedProperties"" (based on sql error description parsing + mapping)
b. Add method findOneOrCreate (hello, Propel!) or updateIfExists to ObjectInterface, EntityManager
c. Combine a, b
",doctrinebot,NONE,New Feature/,open,2012-03-19T21:11:04Z,2,https://api.github.com/repos/doctrine/orm/issues/2365/comments,https://github.com/doctrine/orm/issues/2365,120666968,https://api.github.com/repos/doctrine/orm/issues/2365,https://api.github.com/repos/doctrine/orm,https://api.github.com/users/doctrinebot,2414358,https://github.com/doctrinebot,597887,orm,https://github.com/doctrine/orm,Doctrine Object Relational Mapper (ORM),FALSE,2010-04-06T21:42:59Z,2020-07-01T10:18:53Z,2224,7839,PHP,2012-09-24T19:21:39Z,2019-05-10T15:00:37Z,5,0,
